City,name,address,latitude,longitude,category,closed,avg_rating,num_of_reviews
JACKSONVILLE BEACH,Cajun Boil Express,"Cajun Boil Express, 14333 Beach Blvd #101, Jacksonville, FL 32250",30.28125,-81.4375,RestaurantDelivery RestaurantSeafood restaurant,0,5,48
KEY LARGO,The Island Coffee,"The Island Coffee, 100694 Overseas Hwy, Key Largo, FL 33037",25.109375,-80.4375,Cuban restaurant,0,4,8
MILTON,Cajun Crab,"Cajun Crab, 5070 US-90, Pace, FL 32571",30.609375,-87.125,Seafood restaurant,0,4,14
FORT LAUDERDALE,JK Fast Food & Fruit,"JK Fast Food & Fruit, 7794 NW 44th St, Sunrise, FL 33351",26.171875,-80.25,RestaurantColombian restaurant,0,4,54
JACKSONVILLE,Mateo's,"Mateo's, 2670-7 Rosselle St, Jacksonville, FL 32204",30.3125,-81.6875,Pizza restaurantHamburger restaurantSandwich shop,0,5,7
OCALA,Mama B's Diner,"Mama B's Diner, 7651 SW State Rd 200, Ocala, FL 34476",29.09375,-82.25,American restaurant,0,5,5
PALMETTO,Power Meals,"Power Meals, 323 10th Ave W Unit 101, Palmetto, FL 34221",27.515625,-82.5625,Restaurant,0,5,8
ORLANDO,LEE BISTRO ASIAN CUISINE,"LEE BISTRO ASIAN CUISINE, 5787 Vineland Rd, Orlando, FL 32819",28.484375,-81.4375,Asian restaurantChinese restaurantRamen restaurant,0,4,28
CLEARWATER BEACH,Mainstay Tavern,"Mainstay Tavern, Clearwater, FL 33767",27.953125,-82.8125,Restaurant,0,3,14
SAN ANTONIO,Publix Super Market at The Market at Mirada,"Publix Super Market at The Market at Mirada, 30841 Mirada Blvd, San Antonio, FL 33576",28.328125,-82.3125,SupermarketBakeryBeer storeFloristGrocery storeSeafood marketWine store,0,4,27
ORLANDO,IDRIVE ORLANDO (International Drive Orlando),"IDRIVE ORLANDO (International Drive Orlando), 8015 International Dr #8214, Orlando, FL 32819",28.453125,-81.5,Tourist attractionDinner theaterParking garageRestaurantShopping mallTheme park,0,5,8
BRADENTON,Icon Eatery & Bar,"Icon Eatery & Bar, 5450 Bollettieri Blvd, Bradenton, FL 34210",27.4375,-82.625,Fine dining restaurantBarNew American restaurantRestaurant,0,4,2
NAPLES,Quail Run Country Club Restaurant,"Quail Run Country Club Restaurant, 1 Forest Lakes Blvd, Naples, FL 34105",26.203125,-81.75,American restaurant,0,5,1
MIAMI,Signatures7,"Signatures7, 2250 NW 2nd Ave, Miami, FL 33127",25.796875,-80.1875,Restaurant,0,5,1
HOLLYWOOD,Delicious Latino Restaurant,"Delicious Latino Restaurant, 504 N State Rd 7, Hollywood, FL 33021",26.015625,-80.1875,Restaurant,0,4,28
MIAMI,Store Grocery,"Store Grocery, 727 NW 111th St, Miami, FL 33168",25.875,-80.1875,Restaurant,0,3,18
FORT LAUDERDALE,Fitlife Foods Plantation,"Fitlife Foods Plantation, 1043 S University Dr, Plantation, FL 33324",26.109375,-80.25,Health food storeHealth food restaurantRestaurant,0,4,43
OPA LOCKA,Nini Seafood,"Nini Seafood, 3851 NW 125th St, Miami Gardens, FL 33054",25.890625,-80.25,Seafood restaurant,0,4,6
OCALA,Marcelina’s,"Marcelina’s, 3240 SW 34th St, Ocala, FL 34474",29.15625,-82.1875,Italian restaurant,0,4,16
TALLAHASSEE,Mo Cookies,"Mo Cookies, 685 W Tennessee St, Tallahassee, FL 32304",30.4375,-84.3125,Bakery,0,5,28
MIAMI,Canton Palace Chinese Restaurant,"Canton Palace Chinese Restaurant, 7980 SW 8th St, Miami, FL 33144",25.765625,-80.3125,Chinese restaurant,0,4,25
MACCLENNY,MotLee's,"MotLee's, 1485 S 6th St, Macclenny, FL 32063",30.265625,-82.125,Restaurant,0,3,34
MIAMI,Annie's Bake Shoppe,"Annie's Bake Shoppe, 10331 SW 54th St, Miami, FL 33165",25.71875,-80.375,BakeryGift basket store,0,4,3
SILVER SPRINGS,Shell,"Shell, 15877 E, FL-40, Silver Springs, FL 34488",29.1875,-81.875,Gas stationATMConvenience storeRestaurant,0,1,5
HOLLYWOOD,Baby Food Grill & Bar,"Baby Food Grill & Bar, 203 S 21st Ave, Hollywood, FL 33020",26.015625,-80.125,Mexican restaurant,0,3,2
HIALEAH,Bachata Rosa,"Bachata Rosa, 887w W 29th St, Hialeah, FL 33012",25.84375,-80.3125,Restaurant,0,3,8
ORLANDO,Food Truck De Camino al Cielo,"Food Truck De Camino al Cielo, 3310 S Conway Rd, Orlando, FL 32812",28.5,-81.3125,Takeout Restaurant,0,4,8
KEY LARGO,Bogie's Cafe,"Bogie's Cafe, 99701 Overseas Hwy, Key Largo, FL 33037",25.09375,-80.4375,American restaurant,0,4,8
ORLANDO,Subway,"Subway, 588 S Alafaya Trail #30, Orlando, FL 32828",28.53125,-81.1875,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,33
BOCA RATON,Chefness Bakery,"Chefness Bakery, 7160 Beracasa Way, Boca Raton, FL 33433",26.34375,-80.1875,BakeryCafeCafeteriaCake shopCupcake shopKosher grocery storeKosher restaurantPastry shopPizza restaurantWedding bakery,0,4,24
PALM BEACH GARDENS,Bar 91,"Bar 91, 400 Ave of the Champions, Palm Beach Gardens, FL 33418",26.828125,-80.125,Bar & grillBarRestaurantSports bar,0,3,8
MIAMI,Crab Du Jour Cajun Seafood & Bar,"Crab Du Jour Cajun Seafood & Bar, 3201 N Miami Ave Unit 106, Miami, FL 33127",25.8125,-80.1875,Seafood restaurantBarCajun restaurantChicken wings restaurant,0,4,88
TAMPA,Flock and Stock,"Flock and Stock, 615 Channelside Dr, Tampa, FL 33602",27.9375,-82.4375,Restaurant,0,2,52
KISSIMMEE,Antojitos Del Caribe,"Antojitos Del Caribe, 5811 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",28.328125,-81.5,Restaurant,0,3,8
JACKSONVILLE,Crumbl Cookies - Beach Haven,"Crumbl Cookies - Beach Haven, 3267 Hodges Blvd #2, Jacksonville, FL 32224",30.28125,-81.4375,BakeryCookie shopDessert shop,0,4,756
MIAMI,Pizza cubana& Italiana Dileo's House LLC,"Pizza cubana& Italiana Dileo's House LLC, 7300 W Flagler St, Miami, FL 33144",25.765625,-80.3125,Pizza restaurant,0,4,38
FORT LAUDERDALE,Celebrity Cakes,"Celebrity Cakes, 1915 NE 45th St #102, Fort Lauderdale, FL 33308",26.1875,-80.125,Wedding bakeryCake shopCookie shopCupcake shop,0,3,8
BONITA SPRINGS,Le Troquet French Restaurant,"Le Troquet French Restaurant, 25245 Chamber of Commerce Dr, Bonita Springs, FL 34135",26.375,-81.8125,Restaurant,0,4,8
HAINES CITY,Tu esquina sabrosa,"Tu esquina sabrosa, 2255 U.S. Hwy 17-92 N, Haines City, FL 33844",28.125,-81.625,Puerto Rican restaurant,0,4,15
JACKSONVILLE BEACH,Cajun Boil Express,"Cajun Boil Express, 14333 Beach Blvd #101, Jacksonville, FL 32250",30.28125,-81.4375,RestaurantDelivery RestaurantSeafood restaurant,0,5,48
KEY LARGO,The Island Coffee,"The Island Coffee, 100694 Overseas Hwy, Key Largo, FL 33037",25.109375,-80.4375,Cuban restaurant,0,4,8
MILTON,Cajun Crab,"Cajun Crab, 5070 US-90, Pace, FL 32571",30.609375,-87.125,Seafood restaurant,0,4,14
FORT LAUDERDALE,JK Fast Food & Fruit,"JK Fast Food & Fruit, 7794 NW 44th St, Sunrise, FL 33351",26.171875,-80.25,RestaurantColombian restaurant,0,4,54
JACKSONVILLE,Mateo's,"Mateo's, 2670-7 Rosselle St, Jacksonville, FL 32204",30.3125,-81.6875,Pizza restaurantHamburger restaurantSandwich shop,0,5,7
OCALA,Mama B's Diner,"Mama B's Diner, 7651 SW State Rd 200, Ocala, FL 34476",29.09375,-82.25,American restaurant,0,5,5
PALMETTO,Power Meals,"Power Meals, 323 10th Ave W Unit 101, Palmetto, FL 34221",27.515625,-82.5625,Restaurant,0,5,8
ORLANDO,LEE BISTRO ASIAN CUISINE,"LEE BISTRO ASIAN CUISINE, 5787 Vineland Rd, Orlando, FL 32819",28.484375,-81.4375,Asian restaurantChinese restaurantRamen restaurant,0,4,28
CLEARWATER BEACH,Mainstay Tavern,"Mainstay Tavern, Clearwater, FL 33767",27.953125,-82.8125,Restaurant,0,3,14
SAN ANTONIO,Publix Super Market at The Market at Mirada,"Publix Super Market at The Market at Mirada, 30841 Mirada Blvd, San Antonio, FL 33576",28.328125,-82.3125,SupermarketBakeryBeer storeFloristGrocery storeSeafood marketWine store,0,4,27
ORLANDO,IDRIVE ORLANDO (International Drive Orlando),"IDRIVE ORLANDO (International Drive Orlando), 8015 International Dr #8214, Orlando, FL 32819",28.453125,-81.5,Tourist attractionDinner theaterParking garageRestaurantShopping mallTheme park,0,5,8
BRADENTON,Icon Eatery & Bar,"Icon Eatery & Bar, 5450 Bollettieri Blvd, Bradenton, FL 34210",27.4375,-82.625,Fine dining restaurantBarNew American restaurantRestaurant,0,4,2
NAPLES,Quail Run Country Club Restaurant,"Quail Run Country Club Restaurant, 1 Forest Lakes Blvd, Naples, FL 34105",26.203125,-81.75,American restaurant,0,5,1
MIAMI,Signatures7,"Signatures7, 2250 NW 2nd Ave, Miami, FL 33127",25.796875,-80.1875,Restaurant,0,5,1
HOLLYWOOD,Delicious Latino Restaurant,"Delicious Latino Restaurant, 504 N State Rd 7, Hollywood, FL 33021",26.015625,-80.1875,Restaurant,0,4,28
MIAMI,Store Grocery,"Store Grocery, 727 NW 111th St, Miami, FL 33168",25.875,-80.1875,Restaurant,0,3,18
FORT LAUDERDALE,Fitlife Foods Plantation,"Fitlife Foods Plantation, 1043 S University Dr, Plantation, FL 33324",26.109375,-80.25,Health food storeHealth food restaurantRestaurant,0,4,43
OPA LOCKA,Nini Seafood,"Nini Seafood, 3851 NW 125th St, Miami Gardens, FL 33054",25.890625,-80.25,Seafood restaurant,0,4,6
OCALA,Marcelina’s,"Marcelina’s, 3240 SW 34th St, Ocala, FL 34474",29.15625,-82.1875,Italian restaurant,0,4,16
TALLAHASSEE,Mo Cookies,"Mo Cookies, 685 W Tennessee St, Tallahassee, FL 32304",30.4375,-84.3125,Bakery,0,5,28
MIAMI,Canton Palace Chinese Restaurant,"Canton Palace Chinese Restaurant, 7980 SW 8th St, Miami, FL 33144",25.765625,-80.3125,Chinese restaurant,0,4,25
MACCLENNY,MotLee's,"MotLee's, 1485 S 6th St, Macclenny, FL 32063",30.265625,-82.125,Restaurant,0,3,34
IMMOKALEE,Gold Garden,"Gold Garden, 101 New Market Rd W, Immokalee, FL 34142",26.421875,-81.4375,Chinese restaurant,0,4,8
KEY BISCAYNE,Amazonica,"Amazonica, 180 Crandon Blvd, Key Biscayne, FL 33149",25.703125,-80.1875,Restaurant,0,4,6
MELBOURNE,It's Just Wings,"It's Just Wings, 955 N Wickham Rd, Melbourne, FL 32935",28.125,-80.6875,Chicken wings restaurantChicken restaurantRestaurant,0,4,8
PORT SAINT LUCIE,Villa Fresh Italian Kitchen,"Villa Fresh Italian Kitchen, Florida Turnpike Milepost 144, Fort Pierce, FL 34984",27.296875,-80.375,Pizza restaurantCatererDelivery serviceItalian restaurantPasta shopRestaurantSalad shop,0,1,18
ORLANDO,Nestle Toll House Cafe by Chip,"Nestle Toll House Cafe by Chip, 8001 S Orange Blossom Trl #1206, Orlando, FL 32809",28.453125,-81.375,CafeBakeryCoffee shopDessert shopIce cream shopSandwich shop,0,3,16
POMPANO BEACH,Wendy's,"Wendy's, 6630 N State Rd 7, Coconut Creek, FL 33073",26.3125,-80.1875,Fast food restaurantBreakfast restaurant,0,2,18
NEPTUNE BEACH,BurgerFi,"BurgerFi, 630 Atlantic Blvd Suite 628, Neptune Beach, FL 32266",30.328125,-81.375,Hamburger restaurantAmerican restaurantBarFast food restaurantHot dog restaurantIce cream shopLunch restaurantTakeout RestaurantRestaurant,0,3,35
BOCA RATON,The Wing Experience,"The Wing Experience, 21733 FL-7 Located in Smokey Bones, Boca Raton, FL 33428",26.359375,-80.1875,Chicken wings restaurant,0,2,8
JACKSONVILLE,Tienda El Castillo,"Tienda El Castillo, 1315 Lane Ave S, Jacksonville, FL 32205",30.296875,-81.75,RestaurantBakeryBreakfast restaurantBurrito restaurantCandy storeConvenience storeGrocery storeSpanish restaurantTaco restaurantTobacco shop,0,3,38
TAMPA,Antojitos Mexicanos,"Antojitos Mexicanos, 6118 S Dale Mabry Hwy, Tampa, FL 33611",27.875,-82.5,Mexican restaurant,0,4,35
MOUNT DORA,Roadside Cafe,"Roadside Cafe, 6550 N Orange Blossom Trail, Mt Dora, FL 32757",28.78125,-81.625,American restaurant,0,4,15
OKEECHOBEE,Subway,"Subway, 1865 Hwy 70 West, Okeechobee, FL 34972",27.25,-80.875,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,18
MIAMI,Subway,"Subway, 1395 Brickell Ave Suite 160, Miami, FL 33131",25.765625,-80.1875,Sandwich shopFast food restaurantTakeout RestaurantRestaurant,0,3,27
JUPITER,El Burro Loco,"El Burro Loco, 711 W Indiantown Rd, Jupiter, FL 33458",26.9375,-80.125,Mexican restaurantBurrito restaurantLatin American restaurantTaco restaurant,0,4,28
POMPANO BEACH,Chinese Restaurant,"Chinese Restaurant, 125 Margate Ct, Margate, FL 33063",26.234375,-80.1875,Chinese restaurant,0,5,2
ORLANDO,Sushigami,"Sushigami, 8001 S Orange Blossom Trail, Orlando, FL 32809",28.453125,-81.375,Sushi restaurant,0,3,38
NAPLES,Subway,"Subway, 1870 9th St N Fc9, Naples, FL 34102",26.171875,-81.8125,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,3,46
WEST PALM BEACH,Cookies In Bloom,"Cookies In Bloom, 1408 N Killian Dr # 104, Lake Park, FL 33403",26.8125,-80.0625,Bakery,0,4,3
JENSEN BEACH,It's Just Wings,"It's Just Wings, 2988 NW Federal Hwy, Jensen Beach, FL 34957",27.25,-80.25,Chicken wings restaurantChicken restaurantRestaurant,0,4,6
JACKSONVILLE,Daily's and Daily's Dash,"Daily's and Daily's Dash, 3973 Hendricks Ave, Jacksonville, FL 32207",30.28125,-81.625,Convenience storeATMDeliGas stationRestaurant,0,3,35
PENSACOLA,Great American Cookies,"Great American Cookies, 5100 N 9th Ave Space H-821, Pensacola, FL 32504",30.46875,-87.1875,Cookie shopBakeryCake shopRestaurant,0,3,8
TAMPA,Hobart Service,"Hobart Service, 5424 W Waters Ave, Tampa, FL 33634",28.03125,-82.5625,Appliance repair serviceAppliance parts supplierKitchen supply storeRestaurant supply store,0,3,8
SARASOTA,Rogers Market,"Rogers Market, 1135 S Beneva Rd, Sarasota, FL 34232",27.328125,-82.5,Convenience storeBarbecue restaurantCoffee shopDeliGas stationRestaurant,0,4,14
LUTZ,Villa Italian Kitchen,"Villa Italian Kitchen, 2382 Grand Cypress Dr Sp 989, Lutz, FL 33559",28.1875,-82.375,Pizza restaurantCatererItalian restaurantPasta shopRestaurantSalad shop,0,3,38
PUNTA GORDA,Krispy Krunchy Chicken,"Krispy Krunchy Chicken, 2001 Rio De Janeiro Ave, Punta Gorda, FL 33983",27.0,-82.0,Restaurant,0,4,18
MIAMI,BJ's,"BJ's, 2675 SW 69th Ct, Miami, FL 33155",25.75,-80.3125,Bakery,0,4,8
MIAMI,The Chef,"The Chef, 13452 Biscayne Blvd, North Miami, FL 33181",25.90625,-80.1875,Restaurant,0,4,27
BOCA RATON,Tossed,"Tossed, 6000 Glades Rd, Boca Raton, FL 33431",26.359375,-80.125,Salad shopRestaurant,0,3,18
LAKE WALES,Chester Fried Chicken,"Chester Fried Chicken, 17309 US-27, Lake Wales, FL 33853",27.875,-81.5625,Restaurant,0,3,8
MOUNT DORA,Wawa,"Wawa, 17700 US-441, Mt Dora, FL 32757",28.828125,-81.6875,Convenience storeBreakfast restaurantCafeCandy storeCheesesteak restaurantCoffee shopFast food restaurantHoagie restaurantSandwich shopTobacco shop,0,3,25
ANNA MARIA,The Porch Restaurant,"The Porch Restaurant, 9707 Gulf Dr, Anna Maria, FL 34216",27.53125,-82.75,RestaurantFine dining restaurant,0,5,28
MIAMI,Eli's Cafe,"Eli's Cafe, 2655 N Le Jeune Rd, Coral Gables, FL 33134",25.75,-80.25,Breakfast restaurantDelivery Restaurant,0,4,46
FROSTPROOF,Taqueria Michoacan,"Taqueria Michoacan, 2 W Frostproof Rd, Frostproof, FL 33843",27.734375,-81.5625,Restaurant,0,4,8
FORT LAUDERDALE,Subway,"Subway, 2863 D W Sunrise Blvd, Fort Lauderdale, FL 33311",26.140625,-80.1875,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,3,67
GENEVA,Shell,"Shell, 135 E, FL-46, Geneva, FL 32732",28.734375,-81.125,Gas stationATMConvenience storeRestaurant,0,4,1
OSPREY,China Taste,"China Taste, 1314 S Tamiami Trail, Osprey, FL 34229",27.171875,-82.5,Restaurant,0,4,18
NEW SMYRNA BEACH,Subway,"Subway, 3930 FL-44, New Smyrna Beach, FL 32168",29.015625,-81.0625,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,3,18
ORANGE PARK,Sbarro,"Sbarro, 1910 Wells Rd Suite FC 15, Orange Park, FL 32073",30.1875,-81.75,Pizza restaurantCatererFast food restaurantItalian restaurantPasta shopPizza deliveryPizza Takeout,0,2,7
SAINT PETERSBURG,Restaurant Cubano,"Restaurant Cubano, 2319 28th St N, St. Petersburg, FL 33713",27.796875,-82.6875,Restaurant,0,4,18
HOLLYWOOD,3Natives,"3Natives, 14812 Pines Blvd, Pembroke Pines, FL 33027",26.0,-80.375,Health food restaurantCafeJuice shopSandwich shop,0,4,28
MIAMI,2 Korean Girls,"2 Korean Girls, 2801a Florida Ave, Coconut Grove, FL 33133",25.734375,-80.25,Korean restaurant,0,4,58
CLEARWATER,Charley's Philly Steaks,"Charley's Philly Steaks, 2300 Gulf to Bay Blvd, Clearwater, FL 33765",27.96875,-82.75,Cheesesteak restaurant,0,4,38
SARASOTA,The Whiskey Barrel,"The Whiskey Barrel, 15 S Boulevard of the Presidents, Sarasota, FL 34236",27.3125,-82.5625,BarRestaurant,0,4,48
MIAMI,Starbucks,"Starbucks, 7575 SW 88th St, Miami, FL 33173",25.6875,-80.3125,Coffee shopBreakfast restaurantCafeCoffee storeEspresso barInternet cafe,0,3,35
VERO BEACH,Sushi Factory,"Sushi Factory, 8797 20th St, Vero Beach, FL 32966",27.640625,-80.5,Sushi restaurantJapanese restaurantSeafood restaurant,0,4,8
SAINT PETERSBURG,The Chicken Spot,"The Chicken Spot, 1120 Central Ave, St. Petersburg, FL 33705",27.765625,-82.625,Restaurant,0,2,67
SORRENTO,Subway,"Subway, 25615 State Rd 46, Sorrento Ave, Mt Plymouth, FL 32776",28.8125,-81.5625,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,28
SANFORD,Shell,"Shell, 5690 W State Rd 46, Sanford, FL 32771",28.8125,-81.375,Gas stationATMConvenience storeRestaurant,0,3,5
SARASOTA,Doggystyle,"Doggystyle, 1544 Main St, Sarasota, FL 34236",27.34375,-82.5625,Hot dog restaurant,0,4,38
BONITA SPRINGS,Subway,"Subway, 24830 S Tamiami Trail Suite 1600, Bonita Springs, FL 34134",26.375,-81.8125,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,3,38
WINTER SPRINGS,The Daily Dose,"The Daily Dose, 1196 Tree Swallow Dr Unit 1318, Winter Springs, FL 32708",28.703125,-81.25,Health food restaurant,0,4,28
ORLANDO,Lakeside Grill,"Lakeside Grill, 7007 Sea Harbor Dr, Orlando, FL 32821",28.40625,-81.4375,Restaurant,0,3,44
JACKSONVILLE,Shell,"Shell, 3957 Hendricks Ave, Jacksonville, FL 32207",30.28125,-81.625,Gas stationATMConvenience storeRestaurant,0,2,5
SAINT PETERSBURG,New China Restaurant,"New China Restaurant, 4785 Gulf Blvd, St Pete Beach, FL 33706",27.71875,-82.75,Restaurant,0,3,18
JUPITER,Subway,"Subway, 2562 W Indiantown Rd, Jupiter, FL 33458",26.9375,-80.125,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,38
MIAMI,sweetgreen,"sweetgreen, 3015 Grand Ave Space #140, Coconut Grove, FL 33133",25.734375,-80.25,Health food restaurantDelivery serviceTakeout RestaurantRestaurantSalad shopVegan restaurantVegetarian restaurant,0,3,8
MARCO ISLAND,Pizza Cucina,"Pizza Cucina, 414-600 S Collier Blvd, Marco Island, FL 34145",25.921875,-81.75,Restaurant,0,4,6
VERO BEACH,King's Corner,"King's Corner, 3451 45th St, Vero Beach, FL 32967",27.671875,-80.4375,American restaurant,0,4,18
MIAMI,Man vs Fries,"Man vs Fries, 1324 SW 1st Ave, Miami, FL 33130",25.765625,-80.1875,Restaurant,0,2,24
ORLANDO,China One,"China One, 914 Lee Rd, Orlando, FL 32810",28.609375,-81.375,Chinese restaurant,0,3,44
JACKSONVILLE BEACH,Jason's deli,"Jason's deli, 2230 3rd St S, Jacksonville Beach, FL 32250",30.265625,-81.375,CateringDeliDelivery RestaurantTakeout RestaurantRestaurantSandwich shop,0,4,4
ORLANDO,Waterstone Grill,"Waterstone Grill, 10301 International Dr, Orlando, FL 32821",28.421875,-81.4375,Mediterranean restaurant,0,3,38
LUTZ,Planet Smoothie,"Planet Smoothie, 3947 Van Dyke Rd, Lutz, FL 33558",28.125,-82.5,Juice shopHealth food restaurant,0,4,48
HOLLYWOOD,Nrgize,"Nrgize, 18445 Pembroke, Pines Blvd, Pembroke Pines, FL 33029",26.015625,-80.375,Juice shopBreakfast restaurantCafeHealth food restaurant,0,3,4
ZEPHYRHILLS,Chick-fil-A,"Chick-fil-A, 7490 Gall Blvd, Zephyrhills, FL 33541",28.265625,-82.1875,Fast food restaurantBreakfast restaurantCatererChicken restaurantDelivery serviceFamily restaurant,0,3,68
EUSTIS,Sunrise Grill,"Sunrise Grill, 24432 FL-44, Eustis, FL 32736",28.84375,-81.5625,Breakfast restaurantDeli,0,4,17
NAPLES,Deluca's,"Deluca's, 5654 Yahl St, Naples, FL 34109",26.21875,-81.75,Hamburger restaurant,0,3,8
PENSACOLA,It's Just Wings,"It's Just Wings, 4480 Mobile Hwy, Pensacola, FL 32506",30.4375,-87.25,Chicken wings restaurantChicken restaurantRestaurant,0,3,16
DAYTONA BEACH,GoJuice,"GoJuice, 3346 S Atlantic Ave, Daytona Beach, FL 32118",29.15625,-81.0,Juice shopAçaí shopBreakfast restaurantCoffee shopCoffee standLunch restaurantVegan restaurant,0,4,13
JACKSONVILLE BEACH,Pinto Thai Bistro,"Pinto Thai Bistro, 756 3rd St S, Jacksonville Beach, FL 32250",30.28125,-81.375,Thai restaurant,0,4,85
FORT MYERS,Subway,"Subway, 11861 Palm Beach Blvd #106, Fort Myers, FL 33905",26.703125,-81.75,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,4,18
OCALA,Shell,"Shell, 6155 SW State Rd 200, Ocala, FL 34476",29.109375,-82.25,Gas stationATMConvenience storeRestaurant,0,3,8
LAKELAND,Einstein Bros. Bagels,"Einstein Bros. Bagels, 1000 Longfellow Blvd, Lakeland, FL 33801",28.03125,-81.9375,Bagel shopBakeryBreakfast restaurantCafeCoffee shop,0,3,18
TAMPA,First Watch,"First Watch, 8646 Hunters Village Rd, Tampa, FL 33647",28.140625,-82.375,Breakfast restaurantCafeDiner,0,4,77
KEY LARGO,Subway,"Subway, 99625 Overseas Hwy Bay 1, Key Largo, FL 33037",25.09375,-80.4375,Sandwich shopCatererFast food restaurantTakeout RestaurantRestaurant,0,3,178
SEFFNER,Wingstop,"Wingstop, 11752 E M.L.K. Jr Blvd, Seffner, FL 33584",27.984375,-82.3125,Chicken wings restaurant,0,3,18
PANAMA CITY,Persis Biryani Indian Grill,"Persis Biryani Indian Grill, 1818 W 23rd St, Panama City, FL 32405",30.1875,-85.6875,RestaurantIndian restaurantPakistani restaurantSouth Asian restaurant,0,4,28
TAMPA,Starbucks,"Starbucks, 8912 Bertha, Palmer Blvd Suite A, Temple Terrace, FL 33617",28.03125,-82.375,Coffee shopBreakfast restaurantCafeCoffee storeEspresso barInternet cafe,0,5,7
WINTER GARDEN,Domino's Pizza,"Domino's Pizza, 15508 W Colonial Dr Bldg C, Winter Garden, FL 34787",28.546875,-81.625,Pizza deliveryDelivery RestaurantTakeout RestaurantPizza restaurantPizza Takeout,0,4,25
SARASOTA,Bridges Restaurant,"Bridges Restaurant, 202 N Tamiami Trail, Sarasota, FL 34236",27.34375,-82.5625,Restaurant,0,4,38
