name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,relative_results,url,restaurant,bakery,dessert,pastry,closed,street,zip,open,close,City,County Name,avg_rating_right,num_of_reviews_right
Bachata Rosa,"Bachata Rosa, 887w W 29th St, Hialeah, FL 33012",0x88d9ba5d65937567:0xbc27649cf513cc89,,25.84375,-80.3125,Restaurant,3.0,8,,1.0,1.0,"0x88d9b07ccb3270b9:0x844f5431085b8f88,0x88d9ba7a4ca1629d:0x67cd0db2ebe4c451,0x88d9ba651886705f:0xa4b09ca39a488a1a,0x88d9ba7bb5458a69:0x9292627c1ae0a969",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ba5d65937567:0xbc27649cf513cc89?authuser=-1&hl=en&gl=us,1,0,0,0,0,887w W 29th St FL USA,33012,6PM,,HIALEAH,MIAMI-DADE,4.69,26
Zampini's Bottega,"Zampini's Bottega, 510 SE 5th Ave, Fort Lauderdale, FL 33301",0x88d900575f0dd065:0x9b3638d2a80be4d,,26.109375,-80.125,Restaurant,4.0,18,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d900575f0dd065:0x9b3638d2a80be4d?authuser=-1&hl=en&gl=us,1,0,0,0,1,510 SE 5th Ave FL USA,33301,Permanently closed,Permanently closed,FORT LAUDERDALE,BROWARD,,
Food Truck De Camino al Cielo,"Food Truck De Camino al Cielo, 3310 S Conway Rd, Orlando, FL 32812",0x88e765a15b829793:0x34addf6ffa1d3f77,,28.5,-81.3125,Takeout Restaurant,4.0,8,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e765a15b829793:0x34addf6ffa1d3f77?authuser=-1&hl=en&gl=us,1,0,0,0,0,3310 S Conway Rd FL USA,32812,1PM,,ORLANDO,ORANGE,,
Choices Cafe,"Choices Cafe, 711 NW 27th Ave, Miami, FL 33125",0x88d9b719170a9f61:0x30d454a980f76ad3,"Quaint cafe with a changing daily menu focused on organic, vegetarian fare, plus kombucha & coffee.",25.78125,-80.25,Restaurant,4.0,45,$,1.0,1.0,"0x88d9b486489d7f3f:0x3e02d9f17e126101,0x88d9b6b27b0b4453:0x53c05305727665f9,0x88d9b48a61669821:0x60b9e5e1b7772aaf",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b719170a9f61:0x30d454a980f76ad3?authuser=-1&hl=en&gl=us,1,0,0,0,1,711 NW 27th Ave FL USA,33125,,,MIAMI,MIAMI-DADE,,
Bogie's Cafe,"Bogie's Cafe, 99701 Overseas Hwy, Key Largo, FL 33037",0x88d769c187b52953:0xe3ace06a033182f6,Easygoing hotel eatery serving a hearty breakfast buffet alongside ample American comfort fare.,25.09375,-80.4375,American restaurant,4.0,8,,1.0,1.0,"0x88d769c234b613f1:0x941b4e1c9cf092fb,0x88d769c29acd960b:0xacb25aeb2a27590d,0x88d769c711cfda0f:0x8d1533d4cfcbd4af,0x88d769c7308eb8bf:0x1966f10f8ac501c2,0x88d769e661efee09:0xad0d7a6e957f4e59",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d769c187b52953:0xe3ace06a033182f6?authuser=-1&hl=en&gl=us,1,0,0,0,0,99701 Overseas Hwy FL USA,33037,7AM Thu,,,,,
Subway,"Subway, 588 S Alafaya Trail #30, Orlando, FL 32828",0x88e76652cd84272f:0x548abb9935d912ff,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",28.53125,-81.1875,"Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4.0,33,$,1.0,1.0,"0x88e767b6ebb4a1e1:0x13873310e89c5a3,0x88e767cca490a289:0xe8ce762bd964f870,0x88e767b4192a5c17:0x5109d28470084204,0x88e767d323a3a11b:0xc21e4b8321a0af0b,0x88e767acd3d874c7:0x9f3c7a90487a7ce6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76652cd84272f:0x548abb9935d912ff?authuser=-1&hl=en&gl=us,1,0,0,0,0,588 S Alafaya Trail #30 FL USA,32828,9AM Thu,,ORLANDO,ORANGE,3.95,47262
India Diner,"India Diner, 4561 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",0x88dd83d661b9262f:0xbc3de0d8abe6423b,,28.3125,-81.4375,Indian restaurant,2.0,8,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd83d661b9262f:0xbc3de0d8abe6423b?authuser=-1&hl=en&gl=us,1,0,0,0,1,4561 W Irlo Bronson Memorial Hwy FL USA,34746,Permanently closed,Permanently closed,KISSIMMEE,OSCEOLA,,
Biscayne Backyard Barbecue,"Biscayne Backyard Barbecue, 11064 Biscayne Blvd, Miami, FL 33161",0x88d9b395c6179c89:0x914b0aafb453b3b5,,25.875,-80.1875,Restaurant,3.0,23,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b395c6179c89:0x914b0aafb453b3b5?authuser=-1&hl=en&gl=us,1,0,0,0,1,11064 Biscayne Blvd FL USA,33161,Permanently closed,Permanently closed,MIAMI,MIAMI-DADE,,
Chefness Bakery,"Chefness Bakery, 7160 Beracasa Way, Boca Raton, FL 33433",0x88d91d9e5e488c4f:0x6049fa30d0806848,,26.34375,-80.1875,"Bakery,Cafe,Cafeteria,Cake shop,Cupcake shop,Kosher grocery store,Kosher restaurant,Pastry shop,Pizza restaurant,Wedding bakery",4.0,24,,1.0,1.0,"0x88d91c255bf4c197:0x1c654d00f3c5b173,0x88d91c28223ded1b:0x631f4bddc9c81d4f,0x88d8e1f992efcc91:0xbd26a227e20859f8,0x88d91da8eb3ca1c7:0xc6f1ac6b6ee38dae,0x88d8e1c0aad6972f:0x976b79b5becc323b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d91d9e5e488c4f:0x6049fa30d0806848?authuser=-1&hl=en&gl=us,1,1,0,1,0,7160 Beracasa Way FL USA,33433,Temporarily closed,Temporarily closed,BOCA RATON,PALM BEACH,4.74,34
Bar 91,"Bar 91, 400 Ave of the Champions, Palm Beach Gardens, FL 33418",0x146c6711a70d7991:0xe478335f760c8ccc,,26.828125,-80.125,"Bar & grill,Bar,Restaurant,Sports bar",3.0,8,,1.0,1.0,"0x88ded52e4b87e21d:0x773ff6613ec82a36,0x88ded55a5b937d51:0xe9095b585d8d95c2,0x88df2aa19c99fb2b:0x27b93b7e0153b3ec,0x88ded537fb7a7bf9:0x4b3efabbfa7d39c6,0x88ded54f7bd06737:0xf0ab0887694359a9",https://www.google.com/maps/place//data=!4m2!3m1!1s0x146c6711a70d7991:0xe478335f760c8ccc?authuser=-1&hl=en&gl=us,1,0,0,0,0,400 Ave of the Champions FL USA,33418,6:30AM Thu,,PALM BEACH GARDENS,PALM BEACH,,
Crab Du Jour Cajun Seafood & Bar,"Crab Du Jour Cajun Seafood & Bar, 3201 N Miami Ave Unit 106, Miami, FL 33127",0x88d9b1f38dff4dff:0x61443de98cd9c88c,,25.8125,-80.1875,"Seafood restaurant,Bar,Cajun restaurant,Chicken wings restaurant",4.0,88,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b1f38dff4dff:0x61443de98cd9c88c?authuser=-1&hl=en&gl=us,1,0,0,0,0,3201 N Miami Ave Unit 106 FL USA,33127,,11PM,MIAMI,MIAMI-DADE,,
Flour Blossom Bakery,"Flour Blossom Bakery, 1210 Capital Cir SE J, Tallahassee, FL 32301",0x88ec5fb4bb5aee75:0x847c0eedb1b8f161,,30.4375,-84.25,Bakery,4.0,25,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec5fb4bb5aee75:0x847c0eedb1b8f161?authuser=-1&hl=en&gl=us,0,1,0,0,1,1210 Capital Cir SE J FL USA,32301,Permanently closed,Permanently closed,TALLAHASSEE,LEON,,
Flock and Stock,"Flock and Stock, 615 Channelside Dr, Tampa, FL 33602",0x88c2c5c515fa6e53:0xee4f630ca314fe01,,27.9375,-82.4375,Restaurant,2.0,52,$$,1.0,1.0,0x88c2c5056de83ac1:0x620ac50153c61f98,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c5c515fa6e53:0xee4f630ca314fe01?authuser=-1&hl=en&gl=us,1,0,0,0,0,615 Channelside Dr FL USA,33602,,11PM,TAMPA,HILLSBOROUGH,,
Sizzler,"Sizzler, 12195 S Apopka Vineland Rd, Orlando, FL 32819",0x88dd8019b7c4167b:0x7043f86a8346dcf3,"Longtime casual chain known for its steak, seafood & salad bar featuring a wide variety of options.",28.46875,-81.4375,"Restaurant,Seafood restaurant,Steak house",3.0,8,$$,1.0,1.0,"0x88e77effc1950205:0x99bc47e1dbade988,0x88e77fab25c65715:0x4505f95e9dac4554,0x88e7636d6b14932d:0x98392743090dbc2b,0x88e762e91e23cc9b:0x8044e1be0a0bd3d5",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8019b7c4167b:0x7043f86a8346dcf3?authuser=-1&hl=en&gl=us,1,0,0,0,1,12195 S Apopka Vineland Rd FL USA,32819,Permanently closed,Permanently closed,ORLANDO,ORANGE,,
Pi Pizza,"Pi Pizza, 409 N US Hwy 17 92, Longwood, FL 32750",0x88e76d9181abf2a9:0x97194d850024543c,,28.703125,-81.3125,Restaurant,3.0,14,,1.0,1.0,0x88e76d903261f2a1:0x6b826d633076f86f,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76d9181abf2a9:0x97194d850024543c?authuser=-1&hl=en&gl=us,1,0,0,0,1,409 N US Hwy 17 92 FL USA,32750,Permanently closed,Permanently closed,LONGWOOD,SEMINOLE,,
Antojitos Del Caribe,"Antojitos Del Caribe, 5811 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",0x88dd7f02de6ab8af:0xbab9000f15a5c0ef,,28.328125,-81.5,Restaurant,3.0,8,,1.0,1.0,"0x88dd7f58c116cfcd:0x9200a5263fc38e55,0x88dd7feb72d9aa9f:0x68f7b72574bfdcf2,0x88dd7f5f4aeaaaab:0xf9562be5659d60,0x88dd7f5f3a49da45:0xf4d6839ca80f49aa",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7f02de6ab8af:0xbab9000f15a5c0ef?authuser=-1&hl=en&gl=us,1,0,0,0,0,5811 W Irlo Bronson Memorial Hwy FL USA,34746,,10AM Thu,KISSIMMEE,OSCEOLA,,
Crumbl Cookies - Beach Haven,"Crumbl Cookies - Beach Haven, 3267 Hodges Blvd #2, Jacksonville, FL 32224",0x88e44b5aa1b320fb:0xf169aafe0f050b23,,30.28125,-81.4375,"Bakery,Cookie shop,Dessert shop",4.0,756,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44b5aa1b320fb:0xf169aafe0f050b23?authuser=-1&hl=en&gl=us,0,1,0,0,0,3267 Hodges Blvd #2 FL USA,32224,,10PM,JACKSONVILLE,DUVAL,,
Pizza cubana& Italiana Dileo's House LLC,"Pizza cubana& Italiana Dileo's House LLC, 7300 W Flagler St, Miami, FL 33144",0x88d9b714af842939:0xbc6dc5c9cb27536e,,25.765625,-80.3125,Pizza restaurant,4.0,38,$,1.0,1.0,"0x88d9b846a5d55897:0xfc623bf8c2e20ca7,0x88d9b84bfa5f8c17:0xc349972e1c8af9c6,0x88d9b96c86b853d7:0xae8a2fdbae653367,0x88d9b9d2a0425c3d:0x8835e81973c7cef3,0x88d9b8e370f248b1:0xc881696c8866fb4c",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b714af842939:0xbc6dc5c9cb27536e?authuser=-1&hl=en&gl=us,1,0,0,0,0,7300 W Flagler St FL USA,33144,,10PM,MIAMI,MIAMI-DADE,,
Dick's Restaurant and Bar,"Dick's Restaurant and Bar, 19581 Palm Beach Blvd, Alva, FL 33920",0x88db70f25d195ce9:0xdd082161db257728,,26.71875,-81.625,"Restaurant,Bar",3.0,8,,1.0,1.0,"0x88db7734f310fc85:0x69562fefaf4d4806,0x88db70f2684e08ed:0x1c837344f5300329,0x88db70c8d5fbcd4d:0x2b7fc85476262809,0x88db724f6bea15cb:0x17dbcd153ae11564,0x88db726e061a4537:0x4f7a9bb9de8c40f6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db70f25d195ce9:0xdd082161db257728?authuser=-1&hl=en&gl=us,1,0,0,0,1,19581 Palm Beach Blvd FL USA,33920,Permanently closed,Permanently closed,,,,
Celebrity Cakes,"Celebrity Cakes, 1915 NE 45th St #102, Fort Lauderdale, FL 33308",0x88d903f9a04f4b11:0xb6b5989d1f01684,,26.1875,-80.125,"Wedding bakery,Cake shop,Cookie shop,Cupcake shop",3.0,8,,1.0,1.0,"0x88d9004ee9f9e521:0x37afda7bcfe8c80b,0x88d901c083403c85:0xfcf2b4e398e73d30,0x88d903d39d1b6fc7:0x1fac4280ff52ce9b,0x88d9073b554517d3:0x43495034941d7586",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d903f9a04f4b11:0xb6b5989d1f01684?authuser=-1&hl=en&gl=us,0,1,0,0,0,1915 NE 45th St #102 FL USA,33308,,6PM,FORT LAUDERDALE,BROWARD,4.75,20
Le Troquet French Restaurant,"Le Troquet French Restaurant, 25245 Chamber of Commerce Dr, Bonita Springs, FL 34135",0x88db192929431de3:0x95904c639f26a3b4,,26.375,-81.8125,Restaurant,4.0,8,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db192929431de3:0x95904c639f26a3b4?authuser=-1&hl=en&gl=us,1,0,0,0,0,25245 Chamber of Commerce Dr FL USA,34135,10AM Thu,,BONITA SPRINGS,LEE,,
Tu esquina sabrosa,"Tu esquina sabrosa, 2255 U.S. Hwy 17-92 N, Haines City, FL 33844",0x88dd738fd4ebbe91:0xe61f34790c936cc0,,28.125,-81.625,Puerto Rican restaurant,4.0,15,,1.0,1.0,"0x88dd73e4d9ee60b5:0x37a6faf73c936b33,0x88dd738fd4ebbe91:0xe61f34790c936cc0,0x88dd73842debf08b:0x98ef4dece09a9563",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd738fd4ebbe91:0xe61f34790c936cc0?authuser=-1&hl=en&gl=us,1,0,0,0,0,2255 U.S. Hwy 17-92 N FL USA,33844,7:30AM Thu,,HAINES CITY,POLK,4.73,11
Trastes,"Trastes, 323 US 17 92 Highway N, Haines City, FL 33844",0x88dd734f09df440d:0x868d00fdf7efd200,,28.109375,-81.625,"Nuevo Latino restaurant,Restaurant",5.0,2,,1.0,1.0,"0x88dd738fd4ebbe91:0xe61f34790c936cc0,0x88dd73e4d9ee60b5:0x37a6faf73c936b33,0x88dd73d1ddda7d41:0xf6d7fd528c554eee",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd734f09df440d:0x868d00fdf7efd200?authuser=-1&hl=en&gl=us,1,0,0,0,1,323 US 17 92 Highway N FL USA,33844,Permanently closed,Permanently closed,HAINES CITY,POLK,4.73,11
Smoothielicious,"Smoothielicious, 4442 Weston Rd, Davie, FL 33331",0x88d9a733b2f2b019:0x978cadcc23c4ba86,,26.0625,-80.375,"Juice shop,Health food restaurant,Takeout Restaurant,Sandwich shop",3.0,1,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9a733b2f2b019:0x978cadcc23c4ba86?authuser=-1&hl=en&gl=us,1,0,0,0,1,4442 Weston Rd FL USA,33331,Permanently closed,Permanently closed,FORT LAUDERDALE,BROWARD,4.35,17
Tokyo Sushi Express,"Tokyo Sushi Express, 1538 E Commercial Blvd, Oakland Park, FL 33334",0x88d9023b9c2ab18f:0xabc959f7dfbdf5dc,Relaxing setting for a wide selection of sushi & Japanese dishes served for lunch & dinner.,26.1875,-80.125,Restaurant,4.0,8,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9023b9c2ab18f:0xabc959f7dfbdf5dc?authuser=-1&hl=en&gl=us,1,0,0,0,1,1538 E Commercial Blvd FL USA,33334,,,FORT LAUDERDALE,BROWARD,,
Cajun Boil Express,"Cajun Boil Express, 14333 Beach Blvd #101, Jacksonville, FL 32250",0x88e44b7e69565ac5:0x3dfe920e1417a40c,,30.28125,-81.4375,"Restaurant,Delivery Restaurant,Seafood restaurant",5.0,48,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44b7e69565ac5:0x3dfe920e1417a40c?authuser=-1&hl=en&gl=us,1,0,0,0,0,14333 Beach Blvd #101 FL USA,32250,,2:30PM ,JACKSONVILLE BEACH,DUVAL,,
Buttercup Gourmet Bakery,"Buttercup Gourmet Bakery, 4122 Florida Ave S, Lakeland, FL 33813",0x88dd394ba8357dc3:0x6910d8806a7eb84f,"Simple, family-owned cake shop serving coffee, cupcakes, macarons & specialty breads.",27.984375,-81.9375,Bakery,4.0,25,$$,1.0,1.0,"0x88dd3968c16dec01:0x2f0a804ef59252be,0x88dd465d66134f19:0xe8b2953fbadbf111",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd394ba8357dc3:0x6910d8806a7eb84f?authuser=-1&hl=en&gl=us,0,1,0,0,1,4122 Florida Ave S FL USA,33813,Permanently closed,Permanently closed,LAKELAND,POLK,,
The Island Coffee,"The Island Coffee, 100694 Overseas Hwy, Key Largo, FL 33037",0x88d769b7897a34b9:0x729a7cbfde222660,,25.109375,-80.4375,Cuban restaurant,4.0,8,,1.0,1.0,"0x88d769c29acd960b:0xacb25aeb2a27590d,0x88d740ebe31967df:0x8f93d9a0652bb99b,0x88d768f468442e4d:0xac035ac3b656ab5c,0x88d769c7308eb8bf:0x1966f10f8ac501c2,0x88d769c187b52953:0xe3ace06a033182f6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d769b7897a34b9:0x729a7cbfde222660?authuser=-1&hl=en&gl=us,1,0,0,0,0,100694 Overseas Hwy FL USA,33037,,8:30PM,,,4.2,5
Cajun Crab,"Cajun Crab, 5070 US-90, Pace, FL 32571",0x8890eff2db2544cb:0x661d1a6f60aa3201,,30.609375,-87.125,Seafood restaurant,4.0,14,,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890eff2db2544cb:0x661d1a6f60aa3201?authuser=-1&hl=en&gl=us,1,0,0,0,0,5070 US-90 FL USA,32571,,9AM Thu,MILTON,SANTA ROSA,,
The Brew Spot Cafe,"The Brew Spot Cafe, 1000 NE 16th Ave, Gainesville, FL 32601",0x88e8a40f83aa9035:0x68b279c2896c36c3,,29.671875,-82.3125,"American restaurant,Breakfast restaurant,Cafe,Dinner theater,Wine bar",3.0,7,,1.0,1.0,"0x88e8a40cb9ab601f:0xb50ecf5fc2c571b0,0x88e8a4733681f1cb:0x8fd6099df66da009,0x88e8a4750cbe714f:0xc4b13dd012fd9bf1,0x88e8a40775807535:0xae72d205ffb6f3ef,0x88e8a46da9ffc7ff:0xae30e9e0ad9681fa",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8a40f83aa9035:0x68b279c2896c36c3?authuser=-1&hl=en&gl=us,1,0,0,0,1,1000 NE 16th Ave FL USA,32601,,,GAINESVILLE,ALACHUA,,
Guilty Pleasure Baking Company Inc.,"Guilty Pleasure Baking Company Inc., 817 E New Haven Ave, Melbourne, FL 32901",0x88de118c5ad9ee51:0xb16bb9c3118100a6,,28.078125,-80.625,"Bakery,Cake shop,Cupcake shop",3.0,17,,1.0,1.0,"0x88de116b5a19fdd5:0xc801d9eaa903ceb9,0x88de118c3031d9f9:0x898e8f5aeba64d6,0x88de0e5e8d18cac9:0xd3003e64459c241a",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88de118c5ad9ee51:0xb16bb9c3118100a6?authuser=-1&hl=en&gl=us,0,1,0,0,1,817 E New Haven Ave FL USA,32901,Permanently closed,Permanently closed,MELBOURNE,BREVARD,,
33 Below Icecream,"33 Below Icecream, 12801 W Sunrise Blvd, Sunrise, FL 33323",0x88d90903a8760ad5:0x696fdcc508ebaf7f,,26.15625,-80.3125,Restaurant,3.0,7,,1.0,1.0,"0x88d90914729881f7:0x43c3d4cab367f860,0x88d906551153f47d:0xd76db1b5bc5a90a1,0x88d9090159779007:0x73118d0ec53c509f",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d90903a8760ad5:0x696fdcc508ebaf7f?authuser=-1&hl=en&gl=us,1,0,0,0,1,12801 W Sunrise Blvd FL USA,33323,Permanently closed,Permanently closed,FORT LAUDERDALE,BROWARD,3.81,52
JK Fast Food & Fruit,"JK Fast Food & Fruit, 7794 NW 44th St, Sunrise, FL 33351",0x88d9072d30280d93:0x51fde096261af79,,26.171875,-80.25,"Restaurant,Colombian restaurant",4.0,54,,1.0,1.0,"0x88d9060b35471e4b:0x3febadad8ab0bf8b,0x88d905fce521f415:0x1645c7bd1dc6393c,0x88d908ad18c717fd:0x53cfd9af95375bd0",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9072d30280d93:0x51fde096261af79?authuser=-1&hl=en&gl=us,1,0,0,0,0,7794 NW 44th St FL USA,33351,3PM,,FORT LAUDERDALE,BROWARD,,
