,Nombre,address,gmap_id,description,category,Rating,Reviews,price,hours,MISC,relative_results,url,restaurant,bakery,dessert,pastry,Condición_Establecimiento,street,Zip,horario,open,close,City,County Name,latitude,longitude
10,Bachata Rosa,"Bachata Rosa, 887w W 29th St, Hialeah, FL 33012",0x88d9ba5d65937567:0xbc27649cf513cc89,Sin Dato,Restaurant,3,8,Sin Dato,1.0,1.0,"0x88d9b07ccb3270b9:0x844f5431085b8f88,0x88d9ba7a4ca1629d:0x67cd0db2ebe4c451,0x88d9ba651886705f:0xa4b09ca39a488a1a,0x88d9ba7bb5458a69:0x9292627c1ae0a969",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ba5d65937567:0xbc27649cf513cc89?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,887w W 29th St FL USA,33012,Closed ⋅ Opens 6PM,6PM,Sin Dato,HIALEAH,MIAMI-DADE,25.84375,-80.3125
11,Zampini's Bottega,"Zampini's Bottega, 510 SE 5th Ave, Fort Lauderdale, FL 33301",0x88d900575f0dd065:0x9b3638d2a80be4d,Sin Dato,Restaurant,4,18,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d900575f0dd065:0x9b3638d2a80be4d?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,510 SE 5th Ave FL USA,33301,Permanently closed,Permanently closed,Permanently closed,FORT LAUDERDALE,BROWARD,26.11591778374223,-80.13850570328754
12,Food Truck De Camino al Cielo,"Food Truck De Camino al Cielo, 3310 S Conway Rd, Orlando, FL 32812",0x88e765a15b829793:0x34addf6ffa1d3f77,Sin Dato,Takeout Restaurant,4,8,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e765a15b829793:0x34addf6ffa1d3f77?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,3310 S Conway Rd FL USA,32812,Closed ⋅ Opens 1PM,1PM,Sin Dato,ORLANDO,ORANGE,28.4779699,-81.3306852
13,Choices Cafe,"Choices Cafe, 711 NW 27th Ave, Miami, FL 33125",0x88d9b719170a9f61:0x30d454a980f76ad3,"Quaint cafe with a changing daily menu focused on organic, vegetarian fare, plus kombucha & coffee.",Restaurant,4,45,$,1.0,1.0,"0x88d9b486489d7f3f:0x3e02d9f17e126101,0x88d9b6b27b0b4453:0x53c05305727665f9,0x88d9b48a61669821:0x60b9e5e1b7772aaf",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b719170a9f61:0x30d454a980f76ad3?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,711 NW 27th Ave FL USA,33125,Sin Dato,Sin Dato,Sin Dato,MIAMI,MIAMI-DADE,25.779831,-80.2391804
14,Bogie's Cafe,"Bogie's Cafe, 99701 Overseas Hwy, Key Largo, FL 33037",0x88d769c187b52953:0xe3ace06a033182f6,Easygoing hotel eatery serving a hearty breakfast buffet alongside ample American comfort fare.,American restaurant,4,8,Sin Dato,1.0,1.0,"0x88d769c234b613f1:0x941b4e1c9cf092fb,0x88d769c29acd960b:0xacb25aeb2a27590d,0x88d769c711cfda0f:0x8d1533d4cfcbd4af,0x88d769c7308eb8bf:0x1966f10f8ac501c2,0x88d769e661efee09:0xad0d7a6e957f4e59",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d769c187b52953:0xe3ace06a033182f6?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,99701 Overseas Hwy FL USA,33037,Closed ⋅ Opens 7AM Thu,7AM Thu,Sin Dato,KEY LARGO,MONROE,25.09519795,-80.43794221211135
15,Subway,"Subway, 588 S Alafaya Trail #30, Orlando, FL 32828",0x88e76652cd84272f:0x548abb9935d912ff,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop,Caterer,Fast food restaurant,Takeout Restaurant,Restaurant",4,33,$,1.0,1.0,"0x88e767b6ebb4a1e1:0x13873310e89c5a3,0x88e767cca490a289:0xe8ce762bd964f870,0x88e767b4192a5c17:0x5109d28470084204,0x88e767d323a3a11b:0xc21e4b8321a0af0b,0x88e767acd3d874c7:0x9f3c7a90487a7ce6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76652cd84272f:0x548abb9935d912ff?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,588 S Alafaya Trail #30 FL USA,32828,Closed ⋅ Opens 9AM Thu,9AM Thu,Sin Dato,ORLANDO,ORANGE,28.53125,-81.1875
16,India Diner,"India Diner, 4561 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",0x88dd83d661b9262f:0xbc3de0d8abe6423b,Sin Dato,Indian restaurant,2,8,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd83d661b9262f:0xbc3de0d8abe6423b?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,4561 W Irlo Bronson Memorial Hwy FL USA,34746,Permanently closed,Permanently closed,Permanently closed,KISSIMMEE,OSCEOLA,28.306228205362284,-81.46358391409605
17,Biscayne Backyard Barbecue,"Biscayne Backyard Barbecue, 11064 Biscayne Blvd, Miami, FL 33161",0x88d9b395c6179c89:0x914b0aafb453b3b5,Sin Dato,Restaurant,3,23,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b395c6179c89:0x914b0aafb453b3b5?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,11064 Biscayne Blvd FL USA,33161,Permanently closed,Permanently closed,Permanently closed,MIAMI,MIAMI-DADE,25.8782126,-80.1683606
18,Chefness Bakery,"Chefness Bakery, 7160 Beracasa Way, Boca Raton, FL 33433",0x88d91d9e5e488c4f:0x6049fa30d0806848,Sin Dato,"Bakery,Cafe,Cafeteria,Cake shop,Cupcake shop,Kosher grocery store,Kosher restaurant,Pastry shop,Pizza restaurant,Wedding bakery",4,24,Sin Dato,1.0,1.0,"0x88d91c255bf4c197:0x1c654d00f3c5b173,0x88d91c28223ded1b:0x631f4bddc9c81d4f,0x88d8e1f992efcc91:0xbd26a227e20859f8,0x88d91da8eb3ca1c7:0xc6f1ac6b6ee38dae,0x88d8e1c0aad6972f:0x976b79b5becc323b",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d91d9e5e488c4f:0x6049fa30d0806848?authuser=-1&hl=en&gl=us,1,1,0,1,Activo,7160 Beracasa Way FL USA,33433,Temporarily closed,Temporarily closed,Temporarily closed,BOCA RATON,PALM BEACH,26.351094932989778,-80.15613424753722
19,Bar 91,"Bar 91, 400 Ave of the Champions, Palm Beach Gardens, FL 33418",0x146c6711a70d7991:0xe478335f760c8ccc,Sin Dato,"Bar & grill,Bar,Restaurant,Sports bar",3,8,Sin Dato,1.0,1.0,"0x88ded52e4b87e21d:0x773ff6613ec82a36,0x88ded55a5b937d51:0xe9095b585d8d95c2,0x88df2aa19c99fb2b:0x27b93b7e0153b3ec,0x88ded537fb7a7bf9:0x4b3efabbfa7d39c6,0x88ded54f7bd06737:0xf0ab0887694359a9",https://www.google.com/maps/place//data=!4m2!3m1!1s0x146c6711a70d7991:0xe478335f760c8ccc?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,400 Ave of the Champions FL USA,33418,Closed ⋅ Opens 6:30AM Thu,6:30AM Thu,Sin Dato,PALM BEACH GARDENS,PALM BEACH,26.82904045,-80.1413108812942
20,Crab Du Jour Cajun Seafood & Bar,"Crab Du Jour Cajun Seafood & Bar, 3201 N Miami Ave Unit 106, Miami, FL 33127",0x88d9b1f38dff4dff:0x61443de98cd9c88c,Sin Dato,"Seafood restaurant,Bar,Cajun restaurant,Chicken wings restaurant",4,88,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b1f38dff4dff:0x61443de98cd9c88c?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,3201 N Miami Ave Unit 106 FL USA,33127,Open ⋅ Closes 11PM,Sin Dato,11PM,MIAMI,MIAMI-DADE,25.8078336,-80.19446
21,Flour Blossom Bakery,"Flour Blossom Bakery, 1210 Capital Cir SE J, Tallahassee, FL 32301",0x88ec5fb4bb5aee75:0x847c0eedb1b8f161,Sin Dato,Bakery,4,25,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec5fb4bb5aee75:0x847c0eedb1b8f161?authuser=-1&hl=en&gl=us,0,1,0,0,Inactivo,1210 Capital Cir SE J FL USA,32301,Permanently closed,Permanently closed,Permanently closed,TALLAHASSEE,LEON,30.4375,-84.25
22,Flock and Stock,"Flock and Stock, 615 Channelside Dr, Tampa, FL 33602",0x88c2c5c515fa6e53:0xee4f630ca314fe01,Sin Dato,Restaurant,2,52,$$,1.0,1.0,0x88c2c5056de83ac1:0x620ac50153c61f98,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c5c515fa6e53:0xee4f630ca314fe01?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,615 Channelside Dr FL USA,33602,Open ⋅ Closes 11PM,Sin Dato,11PM,TAMPA,HILLSBOROUGH,27.9432017,-82.447018
23,Sizzler,"Sizzler, 12195 S Apopka Vineland Rd, Orlando, FL 32819",0x88dd8019b7c4167b:0x7043f86a8346dcf3,"Longtime casual chain known for its steak, seafood & salad bar featuring a wide variety of options.","Restaurant,Seafood restaurant,Steak house",3,8,$$,1.0,1.0,"0x88e77effc1950205:0x99bc47e1dbade988,0x88e77fab25c65715:0x4505f95e9dac4554,0x88e7636d6b14932d:0x98392743090dbc2b,0x88e762e91e23cc9b:0x8044e1be0a0bd3d5",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8019b7c4167b:0x7043f86a8346dcf3?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,12195 S Apopka Vineland Rd FL USA,32819,Permanently closed,Permanently closed,Permanently closed,ORLANDO,ORANGE,28.3958998,-81.5051575
24,Pi Pizza,"Pi Pizza, 409 N US Hwy 17 92, Longwood, FL 32750",0x88e76d9181abf2a9:0x97194d850024543c,Sin Dato,Restaurant,3,14,Sin Dato,1.0,1.0,0x88e76d903261f2a1:0x6b826d633076f86f,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76d9181abf2a9:0x97194d850024543c?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,409 N US Hwy 17 92 FL USA,32750,Permanently closed,Permanently closed,Permanently closed,LONGWOOD,SEMINOLE,28.703125,-81.3125
25,Antojitos Del Caribe,"Antojitos Del Caribe, 5811 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",0x88dd7f02de6ab8af:0xbab9000f15a5c0ef,Sin Dato,Restaurant,3,8,Sin Dato,1.0,1.0,"0x88dd7f58c116cfcd:0x9200a5263fc38e55,0x88dd7feb72d9aa9f:0x68f7b72574bfdcf2,0x88dd7f5f4aeaaaab:0xf9562be5659d60,0x88dd7f5f3a49da45:0xf4d6839ca80f49aa",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7f02de6ab8af:0xbab9000f15a5c0ef?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,5811 W Irlo Bronson Memorial Hwy FL USA,34746,Open ⋅ Closes 10AM Thu,Sin Dato,10AM Thu,KISSIMMEE,OSCEOLA,28.3341309,-81.5168648439562
26,Crumbl Cookies - Beach Haven,"Crumbl Cookies - Beach Haven, 3267 Hodges Blvd #2, Jacksonville, FL 32224",0x88e44b5aa1b320fb:0xf169aafe0f050b23,Sin Dato,"Bakery,Cookie shop,Dessert shop",4,756,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44b5aa1b320fb:0xf169aafe0f050b23?authuser=-1&hl=en&gl=us,0,1,0,0,Activo,3267 Hodges Blvd #2 FL USA,32224,Open ⋅ Closes 10PM,Sin Dato,10PM,JACKSONVILLE,DUVAL,30.28125,-81.4375
27,Pizza cubana& Italiana Dileo's House LLC,"Pizza cubana& Italiana Dileo's House LLC, 7300 W Flagler St, Miami, FL 33144",0x88d9b714af842939:0xbc6dc5c9cb27536e,Sin Dato,Pizza restaurant,4,38,$,1.0,1.0,"0x88d9b846a5d55897:0xfc623bf8c2e20ca7,0x88d9b84bfa5f8c17:0xc349972e1c8af9c6,0x88d9b96c86b853d7:0xae8a2fdbae653367,0x88d9b9d2a0425c3d:0x8835e81973c7cef3,0x88d9b8e370f248b1:0xc881696c8866fb4c",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b714af842939:0xbc6dc5c9cb27536e?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,7300 W Flagler St FL USA,33144,Open ⋅ Closes 10PM,Sin Dato,10PM,MIAMI,MIAMI-DADE,25.769765,-80.31395536466769
28,Dick's Restaurant and Bar,"Dick's Restaurant and Bar, 19581 Palm Beach Blvd, Alva, FL 33920",0x88db70f25d195ce9:0xdd082161db257728,Sin Dato,"Restaurant,Bar",3,8,Sin Dato,1.0,1.0,"0x88db7734f310fc85:0x69562fefaf4d4806,0x88db70f2684e08ed:0x1c837344f5300329,0x88db70c8d5fbcd4d:0x2b7fc85476262809,0x88db724f6bea15cb:0x17dbcd153ae11564,0x88db726e061a4537:0x4f7a9bb9de8c40f6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db70f25d195ce9:0xdd082161db257728?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,19581 Palm Beach Blvd FL USA,33920,Permanently closed,Permanently closed,Permanently closed,ALVA,LEE,26.710573775720267,-81.63887362654742
29,Celebrity Cakes,"Celebrity Cakes, 1915 NE 45th St #102, Fort Lauderdale, FL 33308",0x88d903f9a04f4b11:0xb6b5989d1f01684,Sin Dato,"Wedding bakery,Cake shop,Cookie shop,Cupcake shop",3,8,Sin Dato,1.0,1.0,"0x88d9004ee9f9e521:0x37afda7bcfe8c80b,0x88d901c083403c85:0xfcf2b4e398e73d30,0x88d903d39d1b6fc7:0x1fac4280ff52ce9b,0x88d9073b554517d3:0x43495034941d7586",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d903f9a04f4b11:0xb6b5989d1f01684?authuser=-1&hl=en&gl=us,0,1,0,0,Activo,1915 NE 45th St #102 FL USA,33308,Closes soon ⋅ 6PM ⋅ Opens 9AM Thu,Sin Dato,6PM,FORT LAUDERDALE,BROWARD,26.183536857142855,-80.12145114285714
30,Le Troquet French Restaurant,"Le Troquet French Restaurant, 25245 Chamber of Commerce Dr, Bonita Springs, FL 34135",0x88db192929431de3:0x95904c639f26a3b4,Sin Dato,Restaurant,4,8,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db192929431de3:0x95904c639f26a3b4?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,25245 Chamber of Commerce Dr FL USA,34135,Closed ⋅ Opens 10AM Thu,10AM Thu,Sin Dato,BONITA SPRINGS,LEE,26.3751007,-81.807183
31,Tu esquina sabrosa,"Tu esquina sabrosa, 2255 U.S. Hwy 17-92 N, Haines City, FL 33844",0x88dd738fd4ebbe91:0xe61f34790c936cc0,Sin Dato,Puerto Rican restaurant,4,15,Sin Dato,1.0,1.0,"0x88dd73e4d9ee60b5:0x37a6faf73c936b33,0x88dd738fd4ebbe91:0xe61f34790c936cc0,0x88dd73842debf08b:0x98ef4dece09a9563",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd738fd4ebbe91:0xe61f34790c936cc0?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,2255 U.S. Hwy 17-92 N FL USA,33844,Closed ⋅ Opens 7:30AM Thu,7:30AM Thu,Sin Dato,HAINES CITY,POLK,28.125,-81.625
32,Trastes,"Trastes, 323 US 17 92 Highway N, Haines City, FL 33844",0x88dd734f09df440d:0x868d00fdf7efd200,Sin Dato,"Nuevo Latino restaurant,Restaurant",5,2,Sin Dato,1.0,1.0,"0x88dd738fd4ebbe91:0xe61f34790c936cc0,0x88dd73e4d9ee60b5:0x37a6faf73c936b33,0x88dd73d1ddda7d41:0xf6d7fd528c554eee",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd734f09df440d:0x868d00fdf7efd200?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,323 US 17 92 Highway N FL USA,33844,Permanently closed,Permanently closed,Permanently closed,HAINES CITY,POLK,28.109375,-81.625
33,Smoothielicious,"Smoothielicious, 4442 Weston Rd, Davie, FL 33331",0x88d9a733b2f2b019:0x978cadcc23c4ba86,Sin Dato,"Juice shop,Health food restaurant,Takeout Restaurant,Sandwich shop",3,1,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9a733b2f2b019:0x978cadcc23c4ba86?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,4442 Weston Rd FL USA,33331,Permanently closed,Permanently closed,Permanently closed,FORT LAUDERDALE,BROWARD,26.06501130658237,-80.3623238640182
34,Tokyo Sushi Express,"Tokyo Sushi Express, 1538 E Commercial Blvd, Oakland Park, FL 33334",0x88d9023b9c2ab18f:0xabc959f7dfbdf5dc,Relaxing setting for a wide selection of sushi & Japanese dishes served for lunch & dinner.,Restaurant,4,8,$$,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9023b9c2ab18f:0xabc959f7dfbdf5dc?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,1538 E Commercial Blvd FL USA,33334,Sin Dato,Sin Dato,Sin Dato,FORT LAUDERDALE,BROWARD,26.188887588966157,-80.12640919719547
35,Cajun Boil Express,"Cajun Boil Express, 14333 Beach Blvd #101, Jacksonville, FL 32250",0x88e44b7e69565ac5:0x3dfe920e1417a40c,Sin Dato,"Restaurant,Delivery Restaurant,Seafood restaurant",5,48,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44b7e69565ac5:0x3dfe920e1417a40c?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,14333 Beach Blvd #101 FL USA,32250,Closes soon ⋅ 2:30PM ⋅ Reopens 5PM,Sin Dato,2:30PM ,JACKSONVILLE BEACH,DUVAL,30.287996316455697,-81.4384791392405
36,Buttercup Gourmet Bakery,"Buttercup Gourmet Bakery, 4122 Florida Ave S, Lakeland, FL 33813",0x88dd394ba8357dc3:0x6910d8806a7eb84f,"Simple, family-owned cake shop serving coffee, cupcakes, macarons & specialty breads.",Bakery,4,25,$$,1.0,1.0,"0x88dd3968c16dec01:0x2f0a804ef59252be,0x88dd465d66134f19:0xe8b2953fbadbf111",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd394ba8357dc3:0x6910d8806a7eb84f?authuser=-1&hl=en&gl=us,0,1,0,0,Inactivo,4122 Florida Ave S FL USA,33813,Permanently closed,Permanently closed,Permanently closed,LAKELAND,POLK,27.7460137,-82.635589
37,The Island Coffee,"The Island Coffee, 100694 Overseas Hwy, Key Largo, FL 33037",0x88d769b7897a34b9:0x729a7cbfde222660,Sin Dato,Cuban restaurant,4,8,Sin Dato,1.0,1.0,"0x88d769c29acd960b:0xacb25aeb2a27590d,0x88d740ebe31967df:0x8f93d9a0652bb99b,0x88d768f468442e4d:0xac035ac3b656ab5c,0x88d769c7308eb8bf:0x1966f10f8ac501c2,0x88d769c187b52953:0xe3ace06a033182f6",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d769b7897a34b9:0x729a7cbfde222660?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,100694 Overseas Hwy FL USA,33037,Open ⋅ Closes 8:30PM,Sin Dato,8:30PM,KEY LARGO,MONROE,25.109375,-80.4375
38,Cajun Crab,"Cajun Crab, 5070 US-90, Pace, FL 32571",0x8890eff2db2544cb:0x661d1a6f60aa3201,Sin Dato,Seafood restaurant,4,14,Sin Dato,1.0,1.0,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890eff2db2544cb:0x661d1a6f60aa3201?authuser=-1&hl=en&gl=us,1,0,0,0,Activo,5070 US-90 FL USA,32571,Open ⋅ Closes 9AM Thu,Sin Dato,9AM Thu,MILTON,SANTA ROSA,30.609375,-87.125
39,The Brew Spot Cafe,"The Brew Spot Cafe, 1000 NE 16th Ave, Gainesville, FL 32601",0x88e8a40f83aa9035:0x68b279c2896c36c3,Sin Dato,"American restaurant,Breakfast restaurant,Cafe,Dinner theater,Wine bar",3,7,Sin Dato,1.0,1.0,"0x88e8a40cb9ab601f:0xb50ecf5fc2c571b0,0x88e8a4733681f1cb:0x8fd6099df66da009,0x88e8a4750cbe714f:0xc4b13dd012fd9bf1,0x88e8a40775807535:0xae72d205ffb6f3ef,0x88e8a46da9ffc7ff:0xae30e9e0ad9681fa",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8a40f83aa9035:0x68b279c2896c36c3?authuser=-1&hl=en&gl=us,1,0,0,0,Inactivo,1000 NE 16th Ave FL USA,32601,Sin Dato,Sin Dato,Sin Dato,GAINESVILLE,ALACHUA,29.6670757,-82.31368789999999
