County Name,City,Cantidad,Cantidad Abiertos,Cantidad Cerrados,rating
SUWANNEE,LIVE OAK,5,3,2,3.4
BROWARD,HALLANDALE,5,2,3,2.4
BROWARD,PEMBROKE PINES,4,3,1,3.75
MIAMI-DADE,MIAMI GARDENS,3,2,1,3.67
INDIAN RIVER,VERO BEACH,25,15,10,3.52
WAKULLA,PANACEA,1,1,0,4.0
PUTNAM,CRESCENT CITY,1,1,0,4.0
SAINT LUCIE,FORT PIERCE,10,6,4,3.5
CITRUS,BEVERLY HILLS,2,1,1,3.0
HERNANDO,BROOKSVILLE,19,14,5,3.42
VOLUSIA,ORANGE CITY,3,2,1,3.33
ORANGE,OAKLAND,1,1,0,4.0
POLK,FROSTPROOF,3,3,0,3.33
FRANKLIN,APALACHICOLA,4,2,2,4.0
GADSDEN,HAVANA,1,0,1,4.0
SAINT LUCIE,PORT SAINT LUCIE,30,23,7,3.37
PINELLAS,SAINT PETERSBURG,51,28,23,3.61
MARTIN,PALM CITY,2,2,0,3.0
SAINT JOHNS,PONTE VEDRA,6,6,0,3.83
PINELLAS,CLEARWATER,41,22,19,3.59
BAKER,MACCLENNY,4,4,0,3.5
OKALOOSA,HURLBURT FIELD,1,1,0,3.0
LAKE,CLERMONT,18,13,5,3.67
PALM BEACH,DELRAY BEACH,32,17,15,3.5
LEVY,WILLISTON,1,1,0,2.0
MIAMI-DADE,NORTH MIAMI BEACH,8,7,1,3.5
DE SOTO,ARCADIA,7,5,2,3.43
MARTIN,JENSEN BEACH,13,11,2,3.46
DUVAL,ATLANTIC BEACH,5,1,4,3.2
PALM BEACH,SOUTH BAY,2,1,1,3.5
PALM BEACH,PAHOKEE,1,0,1,5.0
MARTIN,HOBE SOUND,2,2,0,3.0
HILLSBOROUGH,LITHIA,3,3,0,4.0
BREVARD,MERRITT ISLAND,9,5,4,3.56
VOLUSIA,EDGEWATER,3,3,0,4.33
LAKE,GROVELAND,1,1,0,4.0
BREVARD,MIMS,2,1,1,4.5
PALM BEACH,BOCA RATON,68,38,30,3.47
CHARLOTTE,PORT CHARLOTTE,17,12,5,3.76
VOLUSIA,DELAND,13,11,2,3.54
LEE,ESTERO,7,3,4,3.29
SAINT JOHNS,PONTE VEDRA BEACH,4,4,0,3.5
LAKE,ASTOR,1,0,1,3.0
CLAY,MIDDLEBURG,8,7,1,3.0
PALM BEACH,BELLE GLADE,12,10,2,3.75
BROWARD,POMPANO BEACH,67,46,21,3.27
MARTIN,STUART,11,9,2,3.18
MIAMI-DADE,HIALEAH,43,31,12,3.42
ALACHUA,GAINESVILLE,62,28,34,3.37
BAKER,GLEN SAINT MARY,1,1,0,2.0
OKALOOSA,MARY ESTHER,6,3,3,3.17
SUWANNEE,BRANFORD,2,2,0,4.0
CITRUS,FLORAL CITY,1,0,1,4.0
POLK,DAVENPORT,14,12,2,3.5
HILLSBOROUGH,ODESSA,5,5,0,3.2
LEVY,BRONSON,1,0,1,1.0
